individual,lifetime_reproduction,ImmGeneticAncestry,sex,ShotOrNot
79,0,0.703125,Male,Shot
80,1,0.515625,Female,Living
81,2,0.796875,Female,Living
82,0,0.609375,Male,Shot
83,0,0.5078125,Female,DeadNotShot
84,0,0.625,Female,DeadNotShot
85,0,0.375,Male,DeadNotShot
86,3,0.625,Female,Shot
87,0,0.5,Male,DeadNotShot
88,2,0.125,Female,Shot
89,0,0.375,Female,Shot
90,1,0.625,Female,DeadNotShot
91,0,0.625,Female,Shot
92,1,0.625,Female,Shot
93,0,0.28125,Male,DeadNotShot
94,0,0,Male,DeadNotShot
95,0,0.5,Female,DeadNotShot
96,0,0.357421875,Female,Living
97,4,0,Female,DeadNotShot
98,2,0,Female,DeadNotShot
99,5,0,Female,DeadNotShot
100,1,0,Female,DeadNotShot
101,0,0,Male,DeadNotShot
102,0,0,Male,DeadNotShot
103,7,0,Female,DeadNotShot
104,0,0.0625,Male,DeadNotShot
105,0,0.0625,Female,DeadNotShot
106,0,0.0625,Female,DeadNotShot
107,0,0.3125,Male,DeadNotShot
108,2,0.0625,Female,Shot
109,0,0.0625,Male,DeadNotShot
110,0,0.484375,Male,DeadNotShot
111,0,0.2421875,Female,DeadNotShot
112,3,0.234375,Female,Living
113,0,0.4296875,Female,DeadNotShot
114,1,0.546875,Female,Living
115,0,0.46875,Male,DeadNotShot
116,0,0.640625,Female,Living
117,0,0.234375,Female,Shot
118,0,0.390625,Male,Shot
119,1,0.609375,Female,Shot
120,0,0.484375,Female,Shot
121,0,1,Male,DeadNotShot
122,0,0.84375,Male,Shot
123,0,0.75,Male,Shot
124,0,1,Male,DeadNotShot
125,0,0.6875,Female,Living
126,0,0.6875,Male,Living
127,0,0.4375,Female,Shot
128,0,0.6875,Male,Shot
129,0,0.8125,Male,Shot
130,0,0.8125,Male,DeadNotShot
131,2,0.3125,Female,DeadNotShot
132,0,0.4375,Female,Shot
133,1,0.65625,Female,Shot
134,2,0,Male,DeadNotShot
135,10,0.28125,Male,DeadNotShot
136,0,0.5,Male,DeadNotShot
137,0,0.4921875,Female,DeadNotShot
138,0,0.28125,Female,DeadNotShot
139,0,0.65625,Female,DeadNotShot
140,0,0.453125,Female,Living
141,0,0.453125,Male,Living
142,0,0.65625,Female,DeadNotShot
143,0,0.65625,Male,Living
144,0,0,Male,DeadNotShot
145,0,0,Female,DeadNotShot
146,3,0.25,Male,DeadNotShot
147,3,0,Female,DeadNotShot
148,0,0,Female,DeadNotShot
149,0,0,Male,DeadNotShot
150,0,0,Male,DeadNotShot
151,0,0.25,Male,DeadNotShot
152,5,0.25,Female,DeadNotShot
153,13,0,Male,DeadNotShot
154,0,0.1875,Male,DeadNotShot
155,0,0,Female,DeadNotShot
156,2,0.5,Male,DeadNotShot
157,0,0,Male,DeadNotShot
158,0,0.8203125,Male,Shot
159,0,0.125,Male,DeadNotShot
160,7,0.625,Female,DeadNotShot
161,5,0.5,Female,Shot
162,19,0.375,Male,Shot
163,0,0.25,Male,DeadNotShot
164,0,1,Male,DeadNotShot
165,0,0,Male,DeadNotShot
166,0,0,Female,DeadNotShot
167,1,0.25,Female,DeadNotShot
168,0,0.25,Male,DeadNotShot
169,27,0.5,Male,DeadNotShot
170,0,0.5,Male,DeadNotShot
171,0,0,Male,DeadNotShot
172,1,0.25,Male,DeadNotShot
173,0,0.5,Female,DeadNotShot
174,7,0.25,Female,DeadNotShot
175,9,0,Female,DeadNotShot
176,0,0,Male,DeadNotShot
177,0,0.125,Male,DeadNotShot
178,3,1,Male,DeadNotShot
179,0,0.140625,Male,DeadNotShot
180,0,0.140625,Male,Living
181,0,0.140625,Male,DeadNotShot
182,0,0.734375,Male,Shot
183,3,0.578125,Female,Living
184,2,0.640625,Female,Living
185,1,0.578125,Female,Living
186,0,0.328125,Female,Living
187,0,0.734375,Male,Living
188,0,0.375,Male,DeadNotShot
189,4,0.3125,Female,Shot
190,2,0.28125,Female,Shot
191,3,0.578125,Female,Shot
192,0,0.578125,Female,DeadNotShot
193,0,0.5,Male,DeadNotShot
194,0,0.53125,Female,Shot
195,0,0.5625,Female,Shot
196,0,0.4375,Male,DeadNotShot
197,0,0.5625,Male,DeadNotShot
198,5,0.3125,Female,DeadNotShot
199,0,0.5625,Male,DeadNotShot
200,0,0.890625,Female,DeadNotShot
201,0,0.3125,Female,DeadNotShot
202,0,0.3125,Female,DeadNotShot
203,0,0.3125,Male,DeadNotShot
204,0,0.3125,Female,DeadNotShot
205,0,0.3125,Male,DeadNotShot
206,0,0.3125,Male,Shot
207,1,0,Male,DeadNotShot
208,0,0,Male,Shot
209,0,0.25,Male,DeadNotShot
210,0,0,Male,DeadNotShot
211,8,0.25,Female,DeadNotShot
212,9,0,Female,DeadNotShot
213,0,0.25,Male,DeadNotShot
214,10,0.5,Male,DeadNotShot
215,6,0.5,Female,DeadNotShot
216,6,0,Female,DeadNotShot
217,0,0.25,Male,DeadNotShot
218,0,1,Male,DeadNotShot
219,0,1,Male,DeadNotShot
220,1,1,Female,DeadNotShot
221,37,1,Male,DeadNotShot
222,0,1,Male,DeadNotShot
223,0,0.6875,Male,Living
224,0,0,Male,DeadNotShot
225,0,0.28125,Male,Shot
226,0,0.28125,Male,Shot
227,0,0.7890625,Female,DeadNotShot
228,0,0.9140625,Male,Living
229,3,0.0625,Female,DeadNotShot
230,0,0.3125,Male,DeadNotShot
231,1,0.1875,Female,DeadNotShot
232,0,0.4375,Female,DeadNotShot
233,0,0.4375,Female,DeadNotShot
234,5,0.1875,Male,DeadNotShot
235,0,0.1875,Male,DeadNotShot
236,11,0.4375,Female,DeadNotShot
237,0,0.1875,Female,DeadNotShot
238,3,0.3125,Female,DeadNotShot
239,5,0.25,Female,DeadNotShot
240,0,0,Male,DeadNotShot
241,8,0.375,Female,DeadNotShot
242,0,0,Male,DeadNotShot
243,0,0.21875,Female,DeadNotShot
244,2,0.21875,Female,Shot
245,0,0.609375,Male,Shot
246,0,0.640625,Male,DeadNotShot
247,0,0.765625,Female,Living
248,0,0.3125,Male,DeadNotShot
249,0,0.5625,Male,DeadNotShot
250,0,0.0625,Female,DeadNotShot
251,0,0.375,Female,DeadNotShot
252,8,0.5625,Female,Living
253,2,0.5625,Female,Shot
254,0,0.3125,Female,DeadNotShot
255,1,0.609375,Male,Shot
256,0,0,Male,DeadNotShot
257,3,0.625,Male,DeadNotShot
258,0,0,Male,DeadNotShot
259,7,0,Female,DeadNotShot
260,0,0,Male,DeadNotShot
261,0,0,Male,DeadNotShot
262,5,0,Male,DeadNotShot
263,0,0,Male,Shot
264,0,0,Female,DeadNotShot
265,0,0.5,Male,Shot
266,0,0.53125,Male,Shot
267,0,0.1875,Male,DeadNotShot
268,7,0.59375,Female,DeadNotShot
269,0,0.59375,Male,DeadNotShot
270,0,0.59375,Male,DeadNotShot
271,0,0.59375,Male,DeadNotShot
272,0,0.1875,Female,DeadNotShot
273,0,0.21875,Female,DeadNotShot
274,6,0.28125,Female,DeadNotShot
275,0,0.28125,Male,DeadNotShot
276,0,0,Male,DeadNotShot
277,0,0,Female,DeadNotShot
278,8,0,Female,DeadNotShot
279,0,0,Male,DeadNotShot
280,0,0,Female,DeadNotShot
281,0,0,Male,DeadNotShot
282,0,1,Male,DeadNotShot
283,7,0,Female,DeadNotShot
284,0,1,Male,DeadNotShot
285,3,1,Male,DeadNotShot
286,0,0.546875,Male,DeadNotShot
287,0,0.515625,Female,DeadNotShot
288,9,0.5,Female,DeadNotShot
289,1,0.25,Male,Shot
290,0,1,Male,Shot
291,0,0,Male,DeadNotShot
292,0,1,Male,DeadNotShot
293,0,0,Female,DeadNotShot
294,0,0.5,Female,DeadNotShot
295,0,0,Male,DeadNotShot
296,4,0.140625,Female,DeadNotShot
297,0,0.640625,Male,Shot
298,9,1,Male,DeadNotShot
299,0,1,Male,DeadNotShot
300,0,1,Male,DeadNotShot
301,0,0,Female,DeadNotShot
302,0,0,Female,DeadNotShot
303,0,0,Female,DeadNotShot
304,0,0,Male,DeadNotShot
305,3,0.5,Male,DeadNotShot
306,0,0.25,Male,DeadNotShot
307,5,0,Female,DeadNotShot
308,0,0,Male,DeadNotShot
309,0,0,Female,DeadNotShot
310,0,0,Female,DeadNotShot
311,2,0.875,Female,Shot
312,0,0,Male,DeadNotShot
313,0,1,Male,DeadNotShot
314,0,1,Male,DeadNotShot
315,0,0,Male,DeadNotShot
316,12,0,Female,DeadNotShot
317,0,0,Female,DeadNotShot
318,0,0,Female,DeadNotShot
319,8,0,Female,DeadNotShot
320,0,0,Male,DeadNotShot
321,0,0,Male,DeadNotShot
322,3,0,Female,DeadNotShot
323,0,0.25,Female,DeadNotShot
324,0,0,Male,DeadNotShot
325,0,1,Male,DeadNotShot
326,10,0,Female,DeadNotShot
327,7,0,Female,DeadNotShot
328,11,0,Female,DeadNotShot
329,14,0,Male,DeadNotShot
330,0,0,Male,DeadNotShot
331,3,0,Female,DeadNotShot
332,12,0,Female,DeadNotShot
333,0,0,Male,DeadNotShot
334,0,0,Male,DeadNotShot
335,9,0,Female,DeadNotShot
336,1,1,Female,DeadNotShot
337,0,0,Male,DeadNotShot
338,0,0.8046875,Female,DeadNotShot
339,0,0.8046875,Male,Shot
340,0,0.8984375,Male,Shot
341,0,0.7734375,Male,Living
342,0,0.3984375,Female,Shot
343,0,0.3984375,Female,Living
344,3,0.408203125,Female,Shot
345,0,0.095703125,Female,DeadNotShot
346,0,0.439453125,Female,Shot
347,0,0.095703125,Male,DeadNotShot
348,0,0.28125,Female,DeadNotShot
349,0,0.09375,Male,DeadNotShot
350,0,0.78125,Female,DeadNotShot
351,0,0.4375,Female,DeadNotShot
352,0,0.375,Male,DeadNotShot
353,0,0.59375,Female,DeadNotShot
354,0,0.375,Female,DeadNotShot
355,0,0.46875,Female,DeadNotShot
356,0,0.4375,Female,DeadNotShot
357,0,0.125,Male,Living
358,1,0.125,Female,Shot
359,0,0.625,Female,Shot
360,0,0.328125,Male,Shot
361,0,0.5791015625,Male,Living
362,0,0.7041015625,Male,Shot
363,7,0.375,Female,DeadNotShot
364,8,0.25,Female,DeadNotShot
365,5,0.25,Female,DeadNotShot
366,5,0.5,Male,DeadNotShot
367,0,0.25,Male,DeadNotShot
368,0,0.25,Male,DeadNotShot
369,0,0.25,Male,DeadNotShot
370,0,0.25,Female,DeadNotShot
371,0,0.25,Female,DeadNotShot
372,0,1,Male,DeadNotShot
373,6,1,Male,Living
374,0,0.3828125,Male,Shot
375,4,0.3203125,Male,Shot
376,0,0.0703125,Male,Living
377,0,0.0703125,Male,Living
378,0,0.5,Female,DeadNotShot
379,3,0.5,Female,Shot
380,2,0.5,Female,DeadNotShot
381,2,0.5,Male,DeadNotShot
382,0,0.80859375,Male,Shot
383,0,0.80859375,Male,DeadNotShot
384,0,0.80859375,Female,DeadNotShot
385,0,0.51953125,Female,Living
386,0,0.68359375,Female,Living
387,0,0.80859375,Female,DeadNotShot
388,0,1,Male,DeadNotShot
389,0,1,Male,DeadNotShot
390,12,0.5,Male,DeadNotShot
391,5,0,Female,DeadNotShot
392,0,0.25,Female,DeadNotShot
393,0,0,Male,DeadNotShot
394,0,0,Male,DeadNotShot
395,0,0.3125,Female,Shot
396,0,1,Male,DeadNotShot
397,7,0,Female,DeadNotShot
398,0,0,Female,DeadNotShot
399,0,0,Male,DeadNotShot
400,0,0,Male,DeadNotShot
401,0,0,Male,DeadNotShot
402,4,0,Female,DeadNotShot
403,0,0,Male,Shot
404,0,0,Male,DeadNotShot
405,6,0,Female,DeadNotShot
406,5,0,Female,Shot
407,0,0,Female,DeadNotShot
408,3,0,Female,DeadNotShot
409,0,1,Male,DeadNotShot
410,13,1,Male,DeadNotShot
411,0,0,Male,DeadNotShot
412,0,0,Male,Shot
413,0,0,Male,Shot
414,0,0,Male,DeadNotShot
415,0,0.5,Male,Shot
416,0,0.5,Female,DeadNotShot
417,6,0.75,Female,Shot
418,0,0.5,Male,DeadNotShot
419,0,0,Male,DeadNotShot
420,0,1,Male,DeadNotShot
421,3,1,Female,DeadNotShot
422,0,1,Male,DeadNotShot
423,0,0,Male,DeadNotShot
424,16,0,Male,DeadNotShot
425,0,0,Male,DeadNotShot
426,8,0.5,Female,DeadNotShot
427,0,0,Male,DeadNotShot
428,0,0.375,Female,DeadNotShot
429,3,0.5,Male,DeadNotShot
430,0,0.375,Male,Shot
431,0,0.125,Female,DeadNotShot
432,0,0.25,Male,DeadNotShot
433,0,0.625,Male,DeadNotShot
434,0,0.625,Male,DeadNotShot
435,0,0,Male,DeadNotShot
436,0,0,Female,DeadNotShot
437,0,0,Female,DeadNotShot
438,0,1,Male,DeadNotShot
439,0,1,Male,DeadNotShot
440,0,0.65625,Male,DeadNotShot
441,0,0,Male,DeadNotShot
442,0,0.1875,Male,DeadNotShot
443,7,1,Male,DeadNotShot
444,9,0,Female,DeadNotShot
445,6,0,Female,DeadNotShot
446,0,0,Male,DeadNotShot
447,0,0,Male,DeadNotShot
448,6,1,Male,DeadNotShot
449,5,0,Female,DeadNotShot
450,16,1,Male,DeadNotShot
451,0,0.28125,Female,DeadNotShot
452,0,0.375,Male,DeadNotShot
453,0,1,Male,DeadNotShot
454,0,0.3125,Male,DeadNotShot
455,0,0.53125,Male,Shot
456,0,0.3125,Male,Shot
457,3,0.2578125,Female,Living
458,2,0.453125,Male,Living
459,0,0.15625,Male,Living
460,0,0.375,Male,DeadNotShot
461,0,0.5,Male,Living
462,0,0.65625,Male,DeadNotShot
463,0,0.484375,Female,DeadNotShot
464,0,0.6875,Male,DeadNotShot
465,0,0.515625,Male,Living
466,4,0,Female,DeadNotShot
467,1,0,Male,DeadNotShot
468,0,0,Male,DeadNotShot
469,0,0,Female,DeadNotShot
470,0,0,Female,DeadNotShot
471,9,0.828125,Male,Shot
472,2,0.453125,Female,DeadNotShot
473,0,0.71875,Male,Shot
474,0,0.328125,Male,Living
475,0,0.40625,Male,DeadNotShot
476,0,0.125,Female,DeadNotShot
477,0,0.125,Female,DeadNotShot
478,11,0.125,Female,DeadNotShot
479,12,0.375,Female,DeadNotShot
480,0,0.25,Female,DeadNotShot
481,0,0.25,Female,DeadNotShot
482,0,0.375,Female,DeadNotShot
483,0,0.375,Male,DeadNotShot
484,0,0.375,Male,DeadNotShot
485,0,0.375,Female,DeadNotShot
486,0,1,Male,DeadNotShot
487,1,0,Male,DeadNotShot
488,7,0,Female,DeadNotShot
489,8,0,Female,DeadNotShot
490,12,0,Female,DeadNotShot
491,1,0,Male,DeadNotShot
492,11,0.25,Female,DeadNotShot
493,0,0,Female,DeadNotShot
494,13,1,Male,DeadNotShot
495,8,0,Female,DeadNotShot
496,0,0.515625,Male,DeadNotShot
497,2,0.484375,Female,DeadNotShot
498,0,0.484375,Female,DeadNotShot
499,0,0.484375,Female,DeadNotShot
500,0,0.453125,Male,DeadNotShot
501,0,0.5,Male,DeadNotShot
502,1,1,Female,DeadNotShot
503,0,0.125,Female,Shot
504,6,0.4375,Female,Shot
505,0,1,Male,DeadNotShot
506,0,0.40625,Female,DeadNotShot
507,0,0.71875,Male,DeadNotShot
508,7,0.71875,Female,Living
509,0,0.40625,Female,DeadNotShot
510,0,0.515625,Male,DeadNotShot
511,0,0.515625,Male,DeadNotShot
512,2,0.3125,Female,DeadNotShot
513,0,0.21875,Female,DeadNotShot
514,8,0.34375,Female,DeadNotShot
515,1,0.71875,Female,DeadNotShot
516,0,0.46875,Female,DeadNotShot
517,15,0.625,Male,DeadNotShot
518,0,0,Male,DeadNotShot
519,0,0.6171875,Female,DeadNotShot
520,0,0.2890625,Female,Living
521,3,0,Male,DeadNotShot
522,7,0.1875,Female,Shot
523,0,0.4375,Female,DeadNotShot
524,4,0.375,Female,Shot
525,1,0.6875,Female,DeadNotShot
526,1,0.6875,Female,Shot
527,0,0,Male,DeadNotShot
528,1,0,Male,Shot
529,0,0,Male,Shot
530,0,0,Male,Shot
531,0,0,Male,DeadNotShot
532,0,0,Male,Shot
533,7,0,Female,DeadNotShot
534,0,0,Female,DeadNotShot
535,6,0.75,Female,DeadNotShot
536,9,0.5,Female,DeadNotShot
537,1,0.25,Female,DeadNotShot
538,0,0.75,Female,DeadNotShot
539,0,0.8515625,Male,Shot
540,0,0.7578125,Male,Shot
541,0,0.9453125,Male,Living
542,0,0.7265625,Male,DeadNotShot
543,0,0.9453125,Male,Shot
544,0,0,Male,DeadNotShot
545,0,0,Male,DeadNotShot
546,5,0.25,Female,DeadNotShot
547,0,0.25,Male,DeadNotShot
548,3,0.5,Female,DeadNotShot
549,1,0,Female,DeadNotShot
550,0,0,Male,DeadNotShot
551,2,0,Female,DeadNotShot
552,0,0,Male,DeadNotShot
553,0,0.5,Male,DeadNotShot
554,8,0.5,Female,DeadNotShot
555,0,0.25,Female,DeadNotShot
556,0,0.75,Male,DeadNotShot
557,0,0,Female,DeadNotShot
558,0,0,Male,DeadNotShot
559,0,0,Male,DeadNotShot
560,0,0,Male,DeadNotShot
561,0,1,Male,DeadNotShot
562,0,0,Male,DeadNotShot
563,1,0.875,Female,DeadNotShot
564,0,0.9375,Male,DeadNotShot
565,0,0.6875,Male,Living
566,0,0.6875,Male,Shot
567,0,0.9375,Male,Shot
568,0,0.546875,Male,Living
569,0,0.203125,Female,Shot
570,0,0.703125,Male,Living
571,0,0.203125,Female,Living
572,0,0.5625,Female,DeadNotShot
573,0,0.625,Female,DeadNotShot
574,0,0.875,Male,DeadNotShot
575,3,0.828125,Female,Living
576,0,0.828125,Male,Shot
577,0,0.6875,Female,Living
578,0,0.890625,Female,Living
579,0,0.7890625,Female,DeadNotShot
580,0,0.7890625,Male,Shot
581,0,0.796875,Female,Shot
582,0,0.59375,Male,Shot
583,0,0.3203125,Male,DeadNotShot
584,0,0.6875,Female,Living
585,0,0.6875,Male,Living
586,0,0.6875,Male,Living
587,4,0.40625,Female,Living
588,1,0.25,Female,DeadNotShot
589,0,0.46875,Female,DeadNotShot
590,0,0.46875,Male,DeadNotShot
591,8,0.6875,Female,DeadNotShot
592,0,0.4375,Female,Shot
593,0,0.6875,Male,DeadNotShot
594,3,0.3125,Male,DeadNotShot
595,0,0.1875,Male,DeadNotShot
596,0,0.4375,Male,Shot
597,0,0.4375,Male,DeadNotShot
598,0,0.2265625,Male,DeadNotShot
599,1,0.2265625,Female,Living
600,0,0.4453125,Male,DeadNotShot
601,0,0.5234375,Female,DeadNotShot
602,0,0.7265625,Male,Living
603,0,0.546875,Male,DeadNotShot
604,7,0,Male,DeadNotShot
605,5,0.390625,Female,Shot
606,3,0.546875,Female,Shot
607,0,0.421875,Female,DeadNotShot
608,3,0.328125,Female,Shot
609,4,0.609375,Female,Shot
610,22,0.6875,Male,DeadNotShot
611,0,0.21875,Female,DeadNotShot
612,0,0.21875,Female,DeadNotShot
613,0,0.65625,Female,DeadNotShot
614,0,0.21875,Male,DeadNotShot
615,0,0.125,Male,DeadNotShot
616,0,0.125,Male,DeadNotShot
617,1,0.125,Female,DeadNotShot
618,7,0.4375,Male,Shot
619,0,0.4375,Male,DeadNotShot
620,0,0.515625,Female,DeadNotShot
621,0,0.890625,Male,Shot
622,0,0.453125,Male,Living
623,0,0.453125,Male,Living
624,0,0.453125,Female,DeadNotShot
625,0,0.609375,Female,DeadNotShot
626,0,0.296875,Male,DeadNotShot
627,0,0.296875,Male,DeadNotShot
628,0,0.5859375,Female,DeadNotShot
629,0,0.171875,Male,DeadNotShot
630,1,0.171875,Female,Living
631,0,0.328125,Male,DeadNotShot
632,0,0.46875,Male,DeadNotShot
633,0,0.546875,Male,Living
634,0,0.671875,Female,DeadNotShot
635,0,0.5625,Male,DeadNotShot
636,0,0.4375,Male,DeadNotShot
637,0,0.375,Male,DeadNotShot
638,0,0.3125,Male,DeadNotShot
639,9,0.1875,Female,DeadNotShot
640,0,0.125,Male,DeadNotShot
641,6,0.125,Female,DeadNotShot
642,0,0.625,Male,DeadNotShot
643,0,0.625,Male,DeadNotShot
644,0,0.625,Male,DeadNotShot
645,0,0.5,Male,DeadNotShot
646,5,0.4375,Female,DeadNotShot
647,0,0.4375,Male,DeadNotShot
648,0,0.9375,Female,DeadNotShot
649,7,0.75,Female,DeadNotShot
650,5,0.6875,Female,DeadNotShot
651,1,0.5625,Male,Shot
652,0,0.9375,Female,DeadNotShot
653,0,0.3125,Male,DeadNotShot
654,0,1,Male,DeadNotShot
655,6,0.515625,Female,DeadNotShot
656,0,0.796875,Male,DeadNotShot
657,0,0.296875,Male,Living
658,3,0.734375,Female,Living
659,0,0.7109375,Male,DeadNotShot
660,0,0.4375,Male,DeadNotShot
661,0,0.5,Male,DeadNotShot
662,3,0,Female,DeadNotShot
663,0,0,Male,DeadNotShot
664,4,0.5,Male,DeadNotShot
665,0,0.25,Male,DeadNotShot
666,0,0.25,Male,DeadNotShot
667,0,0,Male,DeadNotShot
668,6,0,Female,DeadNotShot
669,0,0,Female,DeadNotShot
670,14,0,Male,DeadNotShot
671,0,0.125,Female,DeadNotShot
672,3,0.75,Male,DeadNotShot
673,3,0.0703125,Female,DeadNotShot
674,0,0.5703125,Male,Living
675,0,0.3203125,Male,DeadNotShot
676,0,0.0703125,Male,Living
677,1,0.2109375,Female,Shot
678,0,0.25,Male,DeadNotShot
679,3,0.375,Female,Shot
680,0,0.25,Male,DeadNotShot
681,0,0.25,Male,DeadNotShot
682,0,0.25,Male,DeadNotShot
683,0,0.25,Male,DeadNotShot
684,3,0.6171875,Female,DeadNotShot
685,0,0.328125,Male,Living
686,2,0.328125,Female,Living
687,0,0.328125,Male,Living
688,0,0.328125,Female,Living
689,0,0.7109375,Male,Living
690,0,0.1875,Male,Shot
691,0,0.6875,Female,Shot
692,0,0.1875,Male,Shot
693,0,0.1875,Male,DeadNotShot
694,0,0.6875,Male,Shot
695,0,0.59375,Male,DeadNotShot
696,1,0.5,Male,Living
697,0,0.34375,Female,DeadNotShot
698,0,0.5,Female,Living
699,0,0.34375,Male,Living
700,0,0.75,Male,Living
701,0,0.53125,Male,Living
702,0,0.90625,Male,Shot
703,8,0.90625,Female,Living
704,0,0.6875,Male,Shot
705,6,0.796875,Female,Living
706,0,0.609375,Male,Shot
707,0,0,Male,DeadNotShot
708,0,0,Male,DeadNotShot
709,0,0,Male,DeadNotShot
710,8,0,Female,DeadNotShot
711,0,0,Female,DeadNotShot
712,5,0,Female,DeadNotShot
713,0,0,Male,Shot
714,0,0,Male,DeadNotShot
715,0,0,Male,DeadNotShot
716,9,0,Female,DeadNotShot
717,0,0,Male,DeadNotShot
718,0,0,Male,DeadNotShot
719,0,0,Male,DeadNotShot
720,5,0.375,Female,DeadNotShot
721,0,1,Male,DeadNotShot
722,0,1,Male,DeadNotShot
723,0,0.5625,Male,Shot
724,0,0.4375,Male,Shot
725,1,0.71484375,Female,Shot
726,0,0.51953125,Female,Living
727,0,0.59765625,Female,Living
728,0,0,Female,DeadNotShot
729,3,0,Female,DeadNotShot
730,4,0.5,Female,DeadNotShot
731,0,0,Male,DeadNotShot
732,0,0,Male,DeadNotShot
733,0,0.5,Male,DeadNotShot
734,0,0,Female,DeadNotShot
735,8,0.25,Female,DeadNotShot
736,2,0.5,Female,DeadNotShot
737,0,0.25,Male,DeadNotShot
738,6,0.125,Female,DeadNotShot
739,0,0.125,Female,DeadNotShot
740,0,0.125,Male,DeadNotShot
741,2,0.125,Female,DeadNotShot
742,6,0.125,Female,DeadNotShot
743,6,0.125,Female,DeadNotShot
744,0,0.125,Female,DeadNotShot
745,3,0.125,Female,DeadNotShot
746,0,0.625,Male,Shot
747,0,0.625,Female,DeadNotShot
748,0,0.125,Male,DeadNotShot
749,0,0.125,Male,DeadNotShot
750,1,0,Female,DeadNotShot
751,9,0.5,Male,DeadNotShot
752,0,0,Male,DeadNotShot
753,6,0,Female,DeadNotShot
754,4,0,Female,DeadNotShot
755,4,0,Female,DeadNotShot
756,6,0,Female,DeadNotShot
757,0,0,Female,DeadNotShot
758,0,0,Male,DeadNotShot
759,0,0,Female,DeadNotShot
760,11,0,Female,DeadNotShot
761,0,1,Male,DeadNotShot
762,7,0.90625,Female,Living
763,2,0.78125,Female,Shot
764,0,0.90625,Male,DeadNotShot
765,0,0.625,Male,DeadNotShot
766,1,0.5,Female,Shot
767,0,0.8125,Male,DeadNotShot
768,0,0.625,Male,DeadNotShot
769,0,0.75,Male,DeadNotShot
770,0,0,Male,DeadNotShot
771,1,0.25,Male,DeadNotShot
772,0,0,Male,DeadNotShot
773,2,0.5,Female,Shot
774,0,0.25,Male,DeadNotShot
775,0,0,Male,DeadNotShot
776,0,0.3125,Female,DeadNotShot
777,0,0.3125,Female,DeadNotShot
778,0,0.375,Male,DeadNotShot
779,8,0.1875,Female,DeadNotShot
780,0,0.671875,Male,DeadNotShot
781,0,0.671875,Female,DeadNotShot
782,0,0.53125,Female,DeadNotShot
783,0,0.5234375,Male,DeadNotShot
784,0,0.1875,Male,Living
785,0,1,Male,DeadNotShot
