"","year","degree","obs.days.freq","obs.days.dur","obs.norm","sex","age","anon.id"
"46",2014,10,2,85,2,"female","adult","7c78d373"
"47",2011,11,1,NA,1,"female","adult","7c78d373"
"48",2012,24,2,114,1,"female","adult","7c78d373"
"49",2015,14,1,NA,1,"female","adult","7c78d373"
"50",2013,48,4,17.6666666666667,1,"female","adult","7c78d373"
"51",2015,24,5,35.25,1.2,"female","adult","44ba126c"
"52",2014,17,2,57,1.5,"female","adult","44ba126c"
"53",2013,56,11,18.4,1,"female","adult","44ba126c"
"54",2011,33,5,12.75,1.2,"female","adult","44ba126c"
"55",2012,6,2,26,1.5,"female","adult","44ba126c"
"56",2015,45,10,15.4444444444444,1.1,"female","adult","0dfd514d"
"57",2012,13,2,93,1.5,"female","adult","0dfd514d"
"58",2014,9,3,46,1.33333333333333,"female","adult","0dfd514d"
"59",2013,43,7,32.5,1,"female","adult","0dfd514d"
"60",2011,30,3,21.5,1.33333333333333,"female","adult","0dfd514d"
"61",2011,28,5,33.75,1,NA,"calf","353f9052"
"62",2014,4,1,NA,1,NA,"calf","353f9052"
"63",2015,21,6,30.2,1,NA,"juvenile","353f9052"
"64",2013,29,5,26.75,1,NA,"calf","353f9052"
"65",2012,42,9,15,1.22222222222222,NA,"calf","353f9052"
"66",2012,14,3,40.5,1,"male","adult","b8dac4c4"
"67",2011,9,3,45.5,1,"male","adult","b8dac4c4"
"68",2013,13,1,NA,1,"male","adult","801805db"
"69",2011,63,8,20.7142857142857,1,"male","adult","801805db"
"70",2012,14,4,25.6666666666667,1.25,"male","adult","801805db"
"71",2011,4,1,NA,1,"male","calf","c95f46fa"
"72",2012,12,6,14.8,1,"male","calf","c95f46fa"
"73",2014,3,1,NA,1,"male","juvenile","c95f46fa"
"74",2015,3,2,28,1,"male","juvenile","c95f46fa"
"75",2013,41,6,32.2,1.16666666666667,"male","calf","c95f46fa"
"76",2011,1,NA,NA,NA,"male","adult","f19d87e5"
"77",2015,13,5,30.5,1,"male","adult","5bd1c0b8"
"78",2012,34,6,22.2,1.16666666666667,"male","adult","5bd1c0b8"
"79",2011,23,2,120,1,"male","adult","5bd1c0b8"
"80",2014,13,1,NA,1,"male","adult","5bd1c0b8"
"81",2013,14,3,39.5,1,"male","adult","5bd1c0b8"
"82",2015,3,2,2,1,"male","adult","631301a7"
"83",2012,20,3,48,1,"male","adult","631301a7"
"84",2011,2,1,NA,1,"male","adult","631301a7"
"85",2013,12,2,20,1,"male","adult","631301a7"
"86",2011,23,2,27,2,"female","adult","2a544286"
"87",2011,21,2,27,1,"male","calf","12968399"
"88",2015,64,21,9.5,1.28571428571429,"male","adult","a5bdca7d"
"89",2014,51,15,11,1.33333333333333,"male","adult","a5bdca7d"
"90",2011,60,12,16.1818181818182,1,"male","adult","a5bdca7d"
"91",2012,18,6,21.4,1.16666666666667,"male","adult","a5bdca7d"
"92",2013,64,22,8.95238095238095,1.13636363636364,"male","adult","a5bdca7d"
"93",2014,10,2,6,1,"male","adult","9d7f0b62"
"94",2015,20,4,35.6666666666667,1,"male","adult","9d7f0b62"
"95",2012,7,2,130,1,"male","adult","9d7f0b62"
"96",2013,5,1,NA,1,"male","adult","9d7f0b62"
"97",2011,1,1,NA,1,"male","adult","9d7f0b62"
"98",2013,45,8,23,1.125,"female","adult","d4384843"
"99",2011,4,1,NA,1,"female","adult","d4384843"
"100",2012,12,6,14.8,1,"female","adult","d4384843"
"101",2014,21,3,55.5,1.66666666666667,"male","adult","ecfa895c"
"102",2013,37,7,27.6666666666667,1.14285714285714,"male","adult","ecfa895c"
"103",2011,17,2,83,1,"male","adult","ecfa895c"
"104",2012,8,1,NA,1,"male","adult","ecfa895c"
"105",2015,16,4,40.6666666666667,1,"male","adult","ecfa895c"
"106",2013,74,16,11.1333333333333,1.3125,"female","adult","46b6ce01"
"107",2012,33,6,23,1.33333333333333,"female","adult","46b6ce01"
"108",2011,72,14,13.7692307692308,1.07142857142857,"female","adult","46b6ce01"
"109",2014,5,4,10.3333333333333,1.25,"female","adult","46b6ce01"
"110",2015,46,13,16.0833333333333,1.15384615384615,"female","adult","46b6ce01"
"111",2012,56,6,17.2,1.33333333333333,"female","adult","7e740f1e"
"112",2011,25,2,130,1.5,"female","adult","7e740f1e"
"113",2013,11,5,19,1.2,"female","adult","7e740f1e"
"114",2014,7,1,NA,1,"female","adult","7e740f1e"
"115",2015,31,8,19.1428571428571,1.125,"female","adult","7e740f1e"
"116",2013,64,25,8.20833333333333,1.36,"female","calf","37334c3f"
"117",2011,15,1,NA,2,"female",NA,"37334c3f"
"118",2015,77,37,6.16666666666667,1.13513513513514,"female","calf","37334c3f"
"119",2014,83,30,6.93103448275862,1.23333333333333,"female","calf","37334c3f"
"120",2012,35,11,9.9,1.09090909090909,"female","calf","37334c3f"
"121",2011,1,1,NA,1,NA,"adult","0ff18d20"
"122",2012,7,2,130,1,NA,"adult","0ff18d20"
"123",2011,8,1,NA,1,"female","adult","f788e352"
"124",2011,3,2,2,1,"female","adult","cf4a224d"
"125",2013,3,1,NA,1,"female","adult","cf4a224d"
"126",2012,40,9,13.125,1.33333333333333,"male","adult","860d616c"
"127",2014,22,4,41.6666666666667,1,"male","adult","860d616c"
"128",2011,37,7,32,1.14285714285714,"male","adult","860d616c"
"129",2013,49,9,23.125,1.11111111111111,"male","adult","860d616c"
"130",2015,20,5,33,1,"male","adult","860d616c"
"131",2011,15,3,21.5,1,"female","adult","becfa073"
"132",2014,13,6,32.4,1,"female","adult","becfa073"
"133",2013,18,3,32,1.33333333333333,"female","adult","becfa073"
"134",2015,23,13,15.25,1.15384615384615,"female","adult","becfa073"
"135",2014,9,1,NA,1,"male","adult","1483e72e"
"136",2011,19,2,39,1,"male","juvenile","1483e72e"
"137",2015,4,2,43,1,"male","adult","1483e72e"
"138",2012,4,1,NA,1,"male","juvenile","1483e72e"
"139",2013,25,4,56,1,"male","juvenile","1483e72e"
"140",2011,33,3,42,1.33333333333333,"female","adult","2c412631"
"141",2015,9,6,31.2,1,"female","adult","2c412631"
"142",2012,4,4,43.3333333333333,1.25,"female","adult","2c412631"
"143",2013,1,6,33.4,1,"female","adult","2c412631"
"144",2014,3,3,8,1,"female","adult","2c412631"
"145",2013,8,3,29.5,1,"male","adult","65066510"
"146",2014,4,1,NA,1,"male","adult","65066510"
"147",2015,18,3,50.5,1,"male","adult","65066510"
"148",2011,4,1,NA,1,"male","adult","65066510"
"149",2012,13,1,NA,1,"female","adult","5dc4a40f"
"150",2014,4,1,NA,1,"female","adult","5dc4a40f"
"151",2013,44,5,6.5,1,"female","adult","5dc4a40f"
"152",2011,3,1,NA,1,"female","adult","5dc4a40f"
"153",2015,78,3,47,1,"female","adult","5dc4a40f"
"154",2011,19,2,72,1,"female","calf","eaefedeb"
"155",2012,26,4,25.3333333333333,1,"female","calf","eaefedeb"
"156",2013,53,12,17.8181818181818,1.16666666666667,"female","calf","eaefedeb"
"157",2014,4,1,NA,1,"female","calf","eaefedeb"
"158",2015,21,6,27.2,1,"female","juvenile","eaefedeb"
"159",2012,26,3,26,1,"female","adult","d22d2cf4"
"160",2011,4,NA,NA,NA,"female","adult","d22d2cf4"
"161",2014,6,1,NA,1,"female","adult","d22d2cf4"
"162",2013,65,24,8.56521739130435,1.41666666666667,"female","adult","9b6a6fd5"
"163",2014,93,30,6.93103448275862,1.33333333333333,"female","adult","9b6a6fd5"
"164",2015,80,36,6.2,1.19444444444444,"female","adult","9b6a6fd5"
"165",2011,48,13,13.6666666666667,1.15384615384615,"female","adult","9b6a6fd5"
"166",2012,35,11,9.9,1.09090909090909,"female","adult","9b6a6fd5"
"167",2015,72,38,5.91891891891892,1.34210526315789,"male","adult","a3a8aeca"
"168",2013,55,15,13.4285714285714,1.26666666666667,"male","juvenile","a3a8aeca"
"169",2012,51,7,14.8333333333333,1.14285714285714,"male","juvenile","a3a8aeca"
"170",2011,17,7,21.1666666666667,1,"male","juvenile","a3a8aeca"
"171",2014,71,16,10.1333333333333,1.3125,"male","adult","a3a8aeca"
"172",2012,16,2,52,1.5,"female","juvenile","09e4e997"
"173",2013,8,4,12,1.25,"female","adult","09e4e997"
"174",2015,59,2,77,1,"female","adult","09e4e997"
"175",2011,28,4,12.3333333333333,1,"female","juvenile","09e4e997"
"176",2014,8,3,51.5,1,"female","adult","09e4e997"
"177",2015,12,4,39.3333333333333,1.25,"male","juvenile","31262888"
"178",2012,10,4,36.3333333333333,1,"male","calf","31262888"
"179",2011,32,5,41,1,"male","calf","31262888"
"180",2014,4,4,10,1.25,"male","juvenile","31262888"
"181",2013,64,8,24.1428571428571,1,"male","juvenile","31262888"
"182",2011,25,7,29.6666666666667,1,"female","adult","78616ba9"
"183",2013,81,11,17.2,1.36363636363636,"female","adult","78616ba9"
"184",2012,22,9,15.25,1.11111111111111,"female","adult","78616ba9"
"185",2014,13,7,24,1,"female","adult","78616ba9"
"186",2015,32,15,14.5,1.2,"female","adult","78616ba9"
"187",2012,12,1,NA,1,NA,"calf","40a3aab6"
"188",2011,1,1,NA,1,NA,"calf","40a3aab6"
"189",2013,13,1,NA,1,NA,"juvenile","40a3aab6"
"190",2015,1,1,NA,1,NA,"juvenile","40a3aab6"
"191",2013,38,5,31.25,1.6,NA,"calf","cd46fe20"
"192",2012,8,1,NA,1,NA,"calf","cd46fe20"
"193",2011,1,1,NA,1,NA,NA,"cd46fe20"
"194",2015,2,3,56,1,NA,"calf","cd46fe20"
"195",2014,1,2,87,1,NA,"calf","cd46fe20"
"196",2015,76,26,8.2,1.19230769230769,"male","adult","f5843f3f"
"197",2012,35,13,10.8333333333333,1.07692307692308,"male","adult","f5843f3f"
"198",2013,70,18,11.1176470588235,1.22222222222222,"male","adult","f5843f3f"
"199",2014,66,21,8.65,1.14285714285714,"male","adult","f5843f3f"
"200",2011,40,12,15.8181818181818,1,"male","adult","f5843f3f"
"201",2011,10,1,NA,1,"female","adult","bcc37c1e"
"202",2013,59,10,21.6666666666667,1,"male","calf","8401bd01"
"203",2014,1,2,37,1,"male","juvenile","8401bd01"
"204",2015,69,15,14.2142857142857,1.4,"male","juvenile","8401bd01"
"205",2012,35,18,7.23529411764706,1.22222222222222,"male","calf","8401bd01"
"206",2011,39,15,13.9285714285714,1.06666666666667,"male","calf","8401bd01"
"207",2012,1,1,NA,1,"female","adult","2e4dfa5c"
"208",2013,20,3,64,2.33333333333333,"female","adult","2e4dfa5c"
"209",2014,2,1,NA,1,"female","adult","2e4dfa5c"
"210",2011,7,1,NA,1,"female","adult","2e4dfa5c"
"211",2012,16,6,22.8,1,"female","adult","168f3b43"
"212",2013,25,5,18,1,"female","adult","168f3b43"
"213",2014,1,1,NA,1,"female","adult","168f3b43"
"214",2011,3,2,49,1,"female","adult","168f3b43"
"215",2015,5,2,25,1,"female","adult","168f3b43"
"216",2011,11,1,NA,1,"female","adult","5fc87862"
"217",2013,32,8,23.7142857142857,1.25,"female","adult","5fc87862"
"218",2012,16,5,22.25,1.4,"female","adult","5fc87862"
"219",2015,5,4,32,1,"female","adult","5fc87862"
"220",2013,7,2,2,2,"female","adult","670ab97d"
"221",2012,18,1,NA,1,"female","adult","670ab97d"
"222",2011,18,1,NA,1,"female","adult","670ab97d"
"223",2015,1,2,85,1,"female","adult","670ab97d"
"224",2012,16,2,54,1,"female","adult","d021f099"
"225",2011,4,2,55,1,"female","adult","d021f099"
"226",2014,8,5,15.75,1.4,"male","juvenile","e8e33186"
"227",2011,2,2,152,1,"male","calf","e8e33186"
"228",2012,15,3,39,1,"male","calf","e8e33186"
"229",2015,3,1,NA,2,"male","juvenile","e8e33186"
"230",2014,57,8,25.4285714285714,1.125,"female","adult","a1a472a7"
"231",2012,33,5,19,1.2,"female","adult","a1a472a7"
"232",2015,39,8,13.4285714285714,1.25,"female","adult","a1a472a7"
"233",2011,27,2,36,1.5,"female","adult","a1a472a7"
"234",2013,50,8,24.5714285714286,1.5,"female","adult","a1a472a7"
"235",2014,34,3,16.5,1,"female","adult","9966b3b8"
"236",2015,90,5,39.25,1,"female","adult","9966b3b8"
"237",2013,13,2,109,1,"female","adult","9966b3b8"
"238",2011,2,1,NA,1,"female","adult","9966b3b8"
"239",2011,11,1,NA,1,NA,"adult","332af4e5"
"240",2015,28,2,7,1,NA,"adult","332af4e5"
"241",2013,4,1,NA,1,NA,"adult","332af4e5"
"242",2014,1,1,NA,1,NA,"adult","332af4e5"
"243",2015,10,6,19.4,1.33333333333333,"female","adult","0be835fa"
"244",2011,18,2,182,1,"female","adult","0be835fa"
"245",2012,25,5,26,1.2,"female","adult","0be835fa"
"246",2014,9,2,61,1,"female","adult","0be835fa"
"247",2013,34,7,28.3333333333333,1.14285714285714,"female","adult","0be835fa"
"248",2011,7,2,98,1,NA,"calf","42af76db"
"249",2012,2,2,64,1,NA,"juvenile","42af76db"
"250",2013,4,2,6,1,NA,"juvenile","42af76db"
"251",2015,7,3,47.5,1.33333333333333,NA,"juvenile","42af76db"
"252",2013,17,1,NA,1,"male","adult","7a6db7c4"
"253",2012,15,4,38.3333333333333,1,"male","adult","7a6db7c4"
"254",2011,20,2,81,1,"male","adult","7a6db7c4"
"255",2015,70,35,6.11764705882353,1.28571428571429,"male","adult","692cac7e"
"256",2011,39,12,15.4545454545455,1.16666666666667,"male","adult","692cac7e"
"257",2012,37,8,15.8571428571429,1.5,"male","adult","692cac7e"
"258",2014,60,15,12.6428571428571,1.13333333333333,"male","adult","692cac7e"
"259",2013,55,17,12.0625,1.29411764705882,"male","adult","692cac7e"
"260",2011,16,1,NA,1,"female","juvenile","51ee6d61"
"261",2012,12,1,NA,1,"female","adult","51ee6d61"
"262",2013,37,4,46.6666666666667,1.25,"female","adult","51ee6d61"
"263",2015,40,5,34.25,1,"female","adult","51ee6d61"
"264",2014,6,1,NA,1,"female","adult","51ee6d61"
"265",2011,18,1,NA,1,"male","adult","18a92e40"
"266",2013,2,1,NA,2,"male","adult","18a92e40"
"267",2015,21,1,NA,1,NA,"juvenile","206bef5f"
"268",2011,6,2,11,1,NA,"calf","206bef5f"
"269",2012,18,1,NA,2,"female","adult","8a27a802"
"270",2015,9,2,7,1,"female","adult","8a27a802"
"271",2014,4,1,NA,1,"female","adult","8a27a802"
"272",2013,13,4,17,1,"female","adult","8a27a802"
"273",2011,15,1,NA,2,"female","adult","8a27a802"
"274",2012,15,2,58,1,"female","adult","b2e5691d"
"275",2015,41,7,20.3333333333333,1,"female","adult","b2e5691d"
"276",2014,62,7,32,1.14285714285714,"female","adult","b2e5691d"
"277",2013,66,9,9.875,1.33333333333333,"female","adult","b2e5691d"
"278",2011,6,2,108,1,"female","adult","b2e5691d"
"279",2013,10,3,4.5,1,"female","adult","fba22a3c"
"280",2011,24,4,52.3333333333333,1.25,"female","adult","fba22a3c"
"281",2012,45,11,12.3,1.09090909090909,"female","adult","fba22a3c"
"282",2013,32,2,31,1,"female","adult","c360eb23"
"283",2015,1,1,NA,1,"female","adult","c360eb23"
"284",2012,3,2,3,1,"female","adult","c360eb23"
"285",2011,5,1,NA,1,"female","adult","c360eb23"
"286",2015,14,3,43.5,1,NA,"juvenile","744ba2c7"
"287",2013,16,3,38,1,NA,"calf","744ba2c7"
"288",2014,3,2,6,1,NA,"calf","744ba2c7"
"289",2012,22,5,22.25,1.4,NA,"calf","744ba2c7"
"290",2011,12,2,29,1.5,NA,"calf","744ba2c7"
"291",2015,45,10,17.5555555555556,1.4,"male","adult","4c8963d8"
"292",2011,37,8,27.4285714285714,1.125,"male","juvenile","4c8963d8"
"293",2014,30,5,31.25,1,"male","adult","4c8963d8"
"294",2012,37,7,17.5,1.14285714285714,"male","adult","4c8963d8"
"295",2013,50,9,23.125,1.11111111111111,"male","adult","4c8963d8"
"296",2011,2,2,152,1,"female","adult","05ce20f9"
"297",2012,9,2,78,1,"female","adult","05ce20f9"
"298",2015,20,4,46,1,"female","adult","05ce20f9"
"299",2013,5,1,NA,1,"female","adult","05ce20f9"
"300",2011,22,3,81,1,"male","adult","3d0ce1e6"
"301",2014,11,6,3.6,1,"male","adult","3d0ce1e6"
"302",2012,34,7,21.5,1.42857142857143,"male","adult","3d0ce1e6"
"303",2013,27,8,22.5714285714286,1.125,"male","adult","3d0ce1e6"
"304",2015,18,4,39.3333333333333,1,"male","adult","3d0ce1e6"
"305",2011,6,3,45.5,1,"male","adult","9740a6bb"
"306",2015,24,6,24,1.16666666666667,"male","adult","9740a6bb"
"307",2013,28,9,19.125,1,"male","adult","9740a6bb"
"308",2012,10,2,48,1,"male","adult","9740a6bb"
"309",2014,11,4,26.6666666666667,1,"male","adult","9740a6bb"
"310",2011,29,4,64.6666666666667,1,"male","calf","af8267a4"
"311",2015,10,3,10,1,"male","juvenile","af8267a4"
"312",2014,36,3,5,1,"male","juvenile","af8267a4"
"313",2012,21,5,17.5,1,"male","calf","af8267a4"
"314",2013,18,4,25.3333333333333,1,"male","juvenile","af8267a4"
"315",2012,10,2,18,1.5,"male","adult","e6c52485"
"316",2013,29,1,NA,1,"male","adult","e6c52485"
"317",2011,4,1,NA,1,"male","adult","e6c52485"
"318",2015,9,3,19.5,1.33333333333333,"male","adult","e6c52485"
"319",2014,22,4,9.66666666666667,1,"male","adult","e6c52485"
"320",2013,10,2,7,1,"male","adult","de07e59a"
"321",2011,10,1,NA,1,"male","adult","de07e59a"
"322",2014,18,2,12,1.5,"male","adult","de07e59a"
"323",2015,78,3,28,1,"male","adult","de07e59a"
"324",2012,11,2,29,1,"male","adult","de07e59a"
"325",2012,22,2,46,1.5,"male","juvenile","53e2b10c"
"326",2011,16,1,NA,1,"male","juvenile","53e2b10c"
"327",2013,50,14,13,1.14285714285714,"male","juvenile","53e2b10c"
"328",2015,63,9,13.25,1,"male","juvenile","53e2b10c"
"329",2014,9,1,NA,1,"male","juvenile","53e2b10c"
"330",2011,10,1,NA,1,NA,NA,"6b207013"
"331",2012,32,7,19.1666666666667,1,NA,"calf","6b207013"
"332",2014,4,1,NA,1,NA,"calf","6b207013"
"333",2013,21,5,32.75,1.2,NA,"calf","6b207013"
"334",2015,85,11,19.7,1,NA,"calf","6b207013"
"335",2012,17,3,20.5,1,"male","adult","22673332"
"336",2011,20,2,81,1,"male","adult","22673332"
"337",2013,20,2,150,1,"male","adult","22673332"
"338",2013,70,15,13.5,1.4,"male","adult","1aa5f22d"
"339",2014,60,16,10.9333333333333,1.125,"male","adult","1aa5f22d"
"340",2012,32,12,11.3636363636364,1.08333333333333,"male","adult","1aa5f22d"
"341",2015,54,13,9.25,1.23076923076923,"male","adult","1aa5f22d"
"342",2011,40,11,17.4,1.09090909090909,"male","adult","1aa5f22d"
"343",2014,5,3,9.5,1,"female","adult","b0e9b570"
"344",2015,35,14,12.1538461538462,1.28571428571429,"female","adult","b0e9b570"
"345",2013,25,7,27.8333333333333,1,"female","adult","b0e9b570"
"346",2011,53,11,19.1,1.18181818181818,"female","adult","b0e9b570"
"347",2012,20,5,5.75,1.2,"female","adult","b0e9b570"
"348",2013,2,3,71,1,"male","calf","882b746f"
"349",2012,3,3,53,1,"male","calf","882b746f"
"350",2015,2,4,78,1.25,"male","calf","882b746f"
"351",2011,1,1,NA,1,"male",NA,"882b746f"
"352",2014,26,6,27.8,1.16666666666667,"male","calf","882b746f"
"353",2011,7,2,19,1,NA,"calf","c16c374e"
"354",2015,74,3,34,1,NA,"juvenile","c16c374e"
"355",2013,38,2,6,2,NA,"juvenile","c16c374e"
"356",2015,21,1,NA,1,"female","adult","f9aef651"
"357",2011,6,2,11,1,"female","adult","f9aef651"
"358",2014,11,2,72,2,"female","adult","f9aef651"
"359",2014,21,4,36,1.5,"male","adult","4e85bfb5"
"360",2011,31,12,16.0909090909091,1,"male","adult","4e85bfb5"
"361",2012,31,11,13,1.09090909090909,"male","adult","4e85bfb5"
"362",2015,60,20,12.0526315789474,1.05,"male","adult","4e85bfb5"
"363",2013,61,16,12.0666666666667,1.1875,"male","adult","4e85bfb5"
"364",2011,15,1,NA,2,NA,NA,"76477eaa"
"365",2012,5,7,16.1666666666667,1,"female","adult","3f003d8b"
"366",2011,23,14,14.7692307692308,1,"female","adult","3f003d8b"
"367",2013,16,13,14.3333333333333,1.07692307692308,"female","adult","3f003d8b"
"368",2015,25,17,11.4375,1.17647058823529,"female","adult","3f003d8b"
"369",2014,12,5,36.5,1,"female","adult","3f003d8b"
"370",2014,34,6,25.6,1.16666666666667,"female","adult","07c2fc94"
"371",2011,17,1,NA,1,"female","adult","07c2fc94"
"372",2013,50,5,23.75,1.2,"female","adult","07c2fc94"
"373",2012,28,3,12.5,1.33333333333333,"female","adult","07c2fc94"
"374",2015,57,5,12,1.2,"female","adult","07c2fc94"
"375",2011,2,3,19.5,1,"female","adult","ad8ebbc9"
"376",2012,3,3,53,1,"female","adult","ad8ebbc9"
"377",2014,26,7,23.1666666666667,1.14285714285714,"female","adult","ad8ebbc9"
"378",2015,10,9,24.875,1,"female","adult","ad8ebbc9"
"379",2013,2,3,71,1,"female","adult","ad8ebbc9"
"380",2011,12,2,29,1,NA,NA,"954c7ad6"
"381",2013,54,16,11.8,1.25,"male","juvenile","dc0b39f7"
"382",2011,22,9,11,1,"male","calf","dc0b39f7"
"383",2014,54,17,12.6875,1.11764705882353,"male","juvenile","dc0b39f7"
"384",2012,40,19,7.88888888888889,1.10526315789474,"male","calf","dc0b39f7"
"385",2015,82,41,5.525,1.26829268292683,"male","juvenile","dc0b39f7"
"386",2011,51,13,13.3333333333333,1.07692307692308,"female","juvenile","e4c9f8e8"
"387",2015,75,46,4.28888888888889,1.28260869565217,"female","adult","e4c9f8e8"
"388",2014,88,17,10.8125,1.29411764705882,"female","adult","e4c9f8e8"
"389",2012,37,18,7.64705882352941,1.27777777777778,"female","juvenile","e4c9f8e8"
"390",2013,97,31,6.6,1.16129032258065,"female","juvenile","e4c9f8e8"
"391",2015,38,9,12.375,1.22222222222222,"female","adult","1cb0969a"
"392",2012,31,7,17.3333333333333,1.14285714285714,"female","adult","1cb0969a"
"393",2011,25,2,147,1.5,"female","adult","1cb0969a"
"394",2014,19,5,22.5,1.4,"female","adult","1cb0969a"
"395",2013,69,13,13.8333333333333,1.15384615384615,"female","adult","1cb0969a"
"396",2015,9,5,26.25,1,"male","adult","24725785"
"397",2014,10,6,18.2,1,"male","adult","24725785"
"398",2012,40,7,17.3333333333333,1.57142857142857,"male","adult","24725785"
"399",2011,40,6,32.4,1,"male","adult","24725785"
"400",2013,17,5,39.75,1.2,"male","adult","24725785"
"401",2012,24,6,17.2,1,"female","juvenile","6d3514a4"
"402",2011,15,1,NA,2,"female","juvenile","6d3514a4"
"403",2015,3,4,35.3333333333333,1,"female","juvenile","6d3514a4"
"404",2014,1,1,NA,1,"female","juvenile","6d3514a4"
"405",2013,14,4,55.3333333333333,1,"female","juvenile","6d3514a4"
"406",2014,1,1,NA,1,"male","adult","55f7d5bb"
"407",2011,1,1,NA,1,"male","juvenile","55f7d5bb"
"408",2012,18,1,NA,1,"male","adult","55f7d5bb"
"409",2015,1,2,109,1,"male","adult","55f7d5bb"
"410",2013,17,2,124,1.5,"male","adult","55f7d5bb"
"411",2011,4,2,77,1,"male","adult","ffbb92e6"
"412",2012,8,1,NA,1,"male","adult","ffbb92e6"
"413",2011,10,1,NA,1,"female","adult","c77953f9"
"414",2013,6,1,NA,2,"male","juvenile","8e3e10d8"
"415",2012,1,1,NA,1,"male","calf","8e3e10d8"
"416",2014,2,1,NA,1,"male","juvenile","8e3e10d8"
"417",2011,7,1,NA,1,"male","calf","8e3e10d8"
"418",2011,11,1,NA,1,"female","adult","b6fcd1c7"
"419",2015,1,1,NA,1,"female","adult","b6fcd1c7"
"420",2013,4,1,NA,2,"female","adult","b6fcd1c7"
"421",2011,2,1,NA,1,NA,"calf","01d79823"
"422",2013,13,2,109,1,NA,"calf","01d79823"
"423",2014,23,2,33,1,NA,"juvenile","01d79823"
"424",2011,25,4,61.6666666666667,1,"male","calf","3915593c"
"425",2012,1,1,NA,1,"male","calf","3915593c"
"426",2011,7,2,168,1,"female","adult","70521a1d"
"427",2012,14,2,18,1,"female","adult","70521a1d"
"428",2015,57,1,NA,1,"female","adult","70521a1d"
"429",2013,10,5,10.5,1.2,"female","adult","70521a1d"
"430",2011,18,NA,NA,NA,"male","adult","4890db02"
"431",2012,6,NA,NA,NA,"male","adult","4890db02"
"432",2015,73,2,29,1,"male","adult","4890db02"
"433",2011,59,13,14.8333333333333,1.07692307692308,"male","adult","e2dc9c5f"
"434",2014,51,11,15.1,1.18181818181818,"male","adult","e2dc9c5f"
"435",2015,51,22,9.04761904761905,1.13636363636364,"male","adult","e2dc9c5f"
"436",2012,20,8,15.5714285714286,1.125,"male","adult","e2dc9c5f"
"437",2013,51,19,10.4444444444444,1.15789473684211,"male","adult","e2dc9c5f"
"438",2013,32,2,95,2,"female","adult","da1e5d40"
"439",2011,15,3,44,1,"female","adult","da1e5d40"
"440",2014,23,2,113,1,"female","adult","da1e5d40"
"441",2012,19,2,40,1.5,"female","adult","da1e5d40"
"442",2015,9,3,64,1.33333333333333,"female","adult","da1e5d40"
