Code Sex BirthYear DeathYear AgeAtDeath FemaleLBS FemaleLRS ShotOrNot Group Status DeathType MaleLBS animal LBS GGImm Imm Mother
ALD99 Male 1999 2014 14 NA NA DeadNotShot 1 D NA 10 ALD99 10 0.3125 loc SUR87
ALFIE Male 2003 2009 5 NA NA DeadNotShot 1 D Q 0 ALFIE 0 1 Imm NA
ALFRD Male 1969 NA NA NA NA DeadNotShot 2 D NA 0 ALFRD 0 0 base NA
ALI13 Male 2013 2013 0 NA NA Shot 3 D S 0 ALI13 0 0.83984375 loc EMB08
ALL11 Female 2011 2012 0 0 0 DeadNotShot 1 D N NA ALL11 0 0.296875 loc PUF06
ALL12 Male 2012 NA NA NA NA Living 3 L NA 0 ALL12 0 0.203125 loc PUF06
ALL13 Female 2013 NA NA 0 0 Living 3 L NA NA ALL13 0 0.5234375 loc PUF06
ALL15 Male 2015 NA NA NA NA Living 3 L NA 0 ALL15 0 0.3359375 loc PUF06
ALL16 Male 2016 2017 0 NA NA DeadNotShot 1 D N 0 ALL16 0 0.5234375 loc PUF06
ALM80 Female 1980 NA NA 3 2 DeadNotShot 2 D NA NA ALM80 3 0 loc APR75
ALM82 Female 1982 NA NA 2 1 DeadNotShot 2 D NA NA ALM82 2 0 loc APR75
ALM84 Female 1984 NA NA 1 0 DeadNotShot 2 D NA NA ALM84 1 0 loc APR75
ALM86 Female 1986 NA NA 0 0 DeadNotShot 2 D NA NA ALM86 0 0 loc APR75
ALTOS Male 1968 1978 9 NA NA DeadNotShot 1 D N 0 ALTOS 0 0 base NA
AMA86 Female 1986 NA NA 0 0 DeadNotShot 2 D NA NA AMA86 0 0 loc ALM82
AMBER Male 1967 1976 8 NA NA DeadNotShot 1 D N 0 AMBER 0 0 base NA
AMC16 Male 2016 2017 0 NA NA DeadNotShot 1 D N 0 AMC16 0 0.48828125 loc USS12
AME12 Male 2012 2012 0 NA NA DeadNotShot 1 D Q 0 AME12 0 0.84375 loc OPA08
AME13 Male 2013 2015 1 NA NA DeadNotShot 1 D N 0 AME13 0 0.640625 loc OPA08
AME15 Female 2015 NA NA 0 0 Living 3 L NA NA AME15 0 0.84375 loc OPA08
AME16 Male 2016 2017 0 NA NA DeadNotShot 1 D N 0 AME16 0 0.7265625 loc OPA08
AML16 Female 2016 NA NA 0 0 Living 3 L NA NA AML16 0 0.7890625 loc DAW12
AND02 Male 2002 2005 3 NA NA Shot 3 D S 0 AND02 0 0.328125 loc ARI99
ANGUS Male 1968 NA NA NA NA DeadNotShot 2 D NA 0 ANGUS 0 0 base NA
ANK86 Male 1986 1987 0 NA NA DeadNotShot 1 D N 0 ANK86 0 0 loc KIL82
ANK87 Male 1987 1997 10 NA NA Shot 3 D S 3 ANK87 3 0.25 loc KIL82
ANK89 Female 1989 2003 14 9 5 DeadNotShot 1 D Q NA ANK89 9 0 loc KIL82
ANK90 Female 1990 2002 12 5 3 DeadNotShot 1 D Q NA ANK90 5 0.25 loc KIL82
ANK91 Female 1991 1999 7 5 0 DeadNotShot 1 D Q NA ANK91 5 0.25 loc KIL82
ANK92 Female 1992 1993 0 0 0 DeadNotShot 1 D N NA ANK92 0 0.25 loc KIL82
ANM02 Female 2002 2015 12 6 1 DeadNotShot 1 D N NA ANM02 6 0.4375 loc BAC98
ANM03 Female 2003 2005 1 0 0 DeadNotShot 1 D N NA ANM03 0 0.3125 loc BAC98
ANM04 Male 2004 NA NA NA NA Living 3 L NA 1 ANM04 1 0.40625 loc BAC98
ANM06 Female 2006 NA NA 4 1 Living 3 L NA NA ANM06 4 0.375 loc BAC98
ANT00 Male 2000 2002 2 NA NA Shot 3 D S 0 ANT00 0 0.3515625 loc COQ94
ANT97 Female 1997 2001 4 1 0 Shot 3 D S NA ANT97 1 0.2890625 loc COQ94
ANTEL Male 1968 NA NA NA NA DeadNotShot 2 D NA 0 ANTEL 0 0 base NA
APA04 Male 2004 2005 0 NA NA DeadNotShot 1 D N 0 APA04 0 0.546875 loc SEQ99
APA05 Female 2005 2006 0 0 0 DeadNotShot 1 D N NA APA05 0 0.359375 loc SEQ99
APA07 Male 2007 2011 4 NA NA Shot 3 D S 0 APA07 0 0.703125 loc SEQ99
APA08 Female 2008 NA NA 1 0 Living 3 L NA NA APA08 1 0.515625 loc SEQ99
APA10 Female 2010 NA NA 2 1 Living 3 L NA NA APA10 2 0.796875 loc SEQ99
APA12 Male 2012 2014 2 NA NA Shot 3 D S 0 APA12 0 0.609375 loc SEQ99
APA13 Female 2013 2013 0 0 0 DeadNotShot 1 D W NA APA13 0 0.5078125 loc SEQ99
APH00 Female 2000 2000 0 0 0 DeadNotShot 3 F B NA APH00 0 0.625 loc THO86
APH90 Male 1990 1990 0 NA NA DeadNotShot 1 D Q 0 APH90 0 0.375 loc THO86
APH91 Female 1991 1996 5 3 1 Shot 3 D S NA APH91 3 0.625 loc THO86
APH92 Male 1992 1992 0 NA NA DeadNotShot 1 D E 0 APH92 0 0.5 loc THO86
APH93 Female 1993 1998 5 2 0 Shot 3 D S NA APH93 2 0.125 loc THO86
APH94 Female 1994 1995 1 0 0 Shot 3 D S NA APH94 0 0.375 loc THO86
APH95 Female 1995 2000 4 1 1 DeadNotShot 1 D Q NA APH95 1 0.625 loc THO86
APH96 Female 1996 1998 2 0 0 Shot 3 D S NA APH96 0 0.625 loc THO86
APH98 Female 1998 2001 3 1 0 Shot 3 D S NA APH98 1 0.625 loc THO86
APH99 Male 1999 1999 0 NA NA DeadNotShot 1 D E 0 APH99 0 0.28125 loc THO86
APN87 Male 1987 1989 1 NA NA DeadNotShot 1 D N 0 APN87 0 0 loc ASP78
APN89 Female 1989 1990 0 0 0 DeadNotShot 1 D N NA APN89 0 0.5 loc ASP78
APO15 Female 2015 NA NA 0 0 Living 3 L NA NA APO15 0 0.357421875 loc CHY12
APR73 Female 1973 NA NA 4 2 DeadNotShot 2 D NA NA APR73 4 0 loc APRIC
APR74 Female 1974 1981 7 2 2 DeadNotShot 1 D Q NA APR74 2 0 loc APRIC
APR75 Female 1975 1989 13 5 4 DeadNotShot 1 D N NA APR75 5 0 loc APRIC
APR76 Female 1976 NA NA 1 1 DeadNotShot 2 D NA NA APR76 1 0 loc APRIC
APR79 Male 1979 NA NA NA NA DeadNotShot 2 D NA 0 APR79 0 0 loc APRIC
APR81 Male 1981 1982 0 NA NA DeadNotShot 1 D N 0 APR81 0 0 loc APRIC
APRIC Female 1967 1982 14 7 5 DeadNotShot 1 D N NA APRIC 7 0 base NA
AQU83 Male 1983 NA NA NA NA DeadNotShot 2 D NA 0 AQU83 0 0.0625 loc COB80
AQU86 Female 1986 NA NA 0 0 DeadNotShot 2 D NA NA AQU86 0 0.0625 loc COB80
AQU87 Female 1987 NA NA 0 0 DeadNotShot 2 D NA NA AQU87 0 0.0625 loc COB80
AQU89 Male 1989 1991 1 NA NA DeadNotShot 1 D N 0 AQU89 0 0.3125 loc COB80
AQU91 Female 1991 1996 5 2 0 Shot 3 D S NA AQU91 2 0.0625 loc COB80
AQU92 Male 1992 NA NA NA NA DeadNotShot 2 D NA 0 AQU92 0 0.0625 loc COB80
ARA06 Male 2006 2008 1 NA NA DeadNotShot 1 D N 0 ARA06 0 0.484375 loc HED01
ARA07 Female 2007 2008 0 0 0 DeadNotShot 1 D N NA ARA07 0 0.2421875 loc HED01
ARA09 Female 2009 NA NA 3 1 Living 3 L NA NA ARA09 3 0.234375 loc HED01
ARA10 Female 2010 2011 0 0 0 DeadNotShot 1 D N NA ARA10 0 0.4296875 loc HED01
ARA11 Female 2011 NA NA 1 0 Living 3 L NA NA ARA11 1 0.546875 loc HED01
ARA13 Male 2013 2014 0 NA NA DeadNotShot 1 D N 0 ARA13 0 0.46875 loc HED01
ARA15 Female 2015 NA NA 0 0 Living 3 L NA NA ARA15 0 0.640625 loc HED01
ARB04 Female 2004 2006 1 0 0 Shot 3 D S NA ARB04 0 0.234375 loc COF01
ARB06 Male 2006 2011 5 NA NA Shot 3 D S 0 ARB06 0 0.390625 loc COF01
ARB11 Female 2011 2014 2 1 0 Shot 3 D S NA ARB11 1 0.609375 loc COF01
ARB13 Female 2013 2015 2 0 0 Shot 3 D S NA ARB13 0 0.484375 loc COF01
ARCHI Male 2003 2012 8 NA NA DeadNotShot 1 D Q 0 ARCHI 0 1 Imm NA
ARD02 Male 2002 2004 2 NA NA Shot 3 D S 0 ARD02 0 0.84375 loc ALD98
ARD04 Male 2004 2004 0 NA NA Shot 3 D S 0 ARD04 0 0.75 loc ALD98
ARDBG Male 2006 2014 7 NA NA DeadNotShot 1 D Q 0 ARDBG 0 1 Imm NA
ARE14 Female 2014 NA NA 0 0 Living 3 L NA NA ARE14 0 0.6875 loc PCN10
ARE16 Male 2016 NA NA NA NA Living 3 L NA 0 ARE16 0 0.6875 loc PCN10
ARI01 Female 2001 2002 1 0 0 Shot 3 D S NA ARI01 0 0.4375 loc ATH87
ARI91 Male 1991 1995 4 NA NA Shot 3 D S 0 ARI91 0 0.6875 loc ATH87
ARI93 Male 1993 2000 7 NA NA Shot 3 D S 0 ARI93 0 0.8125 loc ATH87
ARI94 Male 1994 1995 0 NA NA DeadNotShot 1 D N 0 ARI94 0 0.8125 loc ATH87
ARI96 Female 1996 2001 5 2 1 DeadNotShot 1 D Q NA ARI96 2 0.3125 loc ATH87
ARI97 Female 1997 1999 2 0 0 Shot 3 D S NA ARI97 0 0.4375 loc ATH87
ARI99 Female 1999 2003 4 1 1 Shot 3 D S NA ARI99 1 0.65625 loc ATH87
ARIST Male 1958 NA NA NA NA DeadNotShot 2 D NA 2 ARIST 2 0 base NA
ART00 Male 2000 2012 11 NA NA DeadNotShot 1 D NA 10 ART00 10 0.28125 loc ARI96
ART99 Male 1999 1999 0 NA NA DeadNotShot 1 D Q 0 ART99 0 0.5 loc ARI96
ASB09 Female 2009 2010 0 0 0 DeadNotShot 1 D N NA ASB09 0 0.4921875 loc HOO05
ASB10 Female 2010 2011 0 0 0 DeadNotShot 1 D Q NA ASB10 0 0.28125 loc HOO05
ASB12 Female 2012 2012 0 0 0 DeadNotShot 1 D D NA ASB12 0 0.65625 loc HOO05
ASB13 Female 2013 NA NA 0 0 Living 3 L NA NA ASB13 0 0.453125 loc HOO05
ASB14 Male 2014 NA NA NA NA Living 3 L NA 0 ASB14 0 0.453125 loc HOO05
ASB15 Female 2015 2016 0 0 0 DeadNotShot 1 D A NA ASB15 0 0.65625 loc HOO05
ASB16 Male 2016 NA NA NA NA Living 3 L NA 0 ASB16 0 0.65625 loc HOO05
ASH76 Male 1976 NA NA NA NA DeadNotShot 2 D NA 0 ASH76 0 0 loc ROW74
ASP76 Female 1976 1976 0 0 0 DeadNotShot 1 D D NA ASP76 0 0 loc TOR72
ASP77 Male 1977 1989 11 NA NA DeadNotShot 1 D N 3 ASP77 3 0.25 loc TOR72
ASP78 Female 1978 1990 11 3 0 DeadNotShot 1 D N NA ASP78 3 0 loc TOR72
ASP80 Female 1980 1981 0 0 0 DeadNotShot 1 D N NA ASP80 0 0 loc TOR72
ASP82 Male 1982 1982 0 NA NA DeadNotShot 1 D Q 0 ASP82 0 0 loc TOR72
ASP83 Male 1983 1988 5 NA NA DeadNotShot 1 D Q 0 ASP83 0 0 loc TOR72
AST89 Male 1989 1989 0 NA NA DeadNotShot 1 D Q 0 AST89 0 0.25 loc GAL85
AST90 Female 1990 2001 11 5 2 DeadNotShot 1 D N NA AST90 5 0.25 loc GAL85
AST91 Male 1991 2005 13 NA NA DeadNotShot 1 D Q 13 AST91 13 0 loc GAL85
AST93 Male 1993 1994 0 NA NA DeadNotShot 1 D N 0 AST93 0 0.1875 loc GAL85
AST94 Female 1994 1995 0 0 0 DeadNotShot 1 D N NA AST94 0 0 loc GAL85
AST95 Male 1995 2005 9 NA NA DeadNotShot 1 D N 2 AST95 2 0.5 loc GAL85
AST97 Male 1997 1997 0 NA NA DeadNotShot 3 F B 0 AST97 0 0 loc GAL85
ATA10 Male 2010 2010 0 NA NA Shot 3 D S 0 ATA10 0 0.8203125 loc VNS06
ATH85 Male 1985 1998 12 NA NA DeadNotShot 1 D N 0 ATH85 0 0.125 loc THO81
ATH87 Female 1987 2002 15 7 5 DeadNotShot 1 D N NA ATH87 7 0.625 loc THO81
ATH89 Female 1989 1999 10 5 4 Shot 3 D S NA ATH89 5 0.5 loc THO81
ATH91 Male 1991 2005 14 NA NA Shot 3 D S 19 ATH91 19 0.375 loc THO81
ATH94 Male 1994 1995 0 NA NA DeadNotShot 1 D N 0 ATH94 0 0.25 loc THO81
AUGUS Male 1995 NA NA NA NA DeadNotShot 2 D NA 0 AUGUS 0 1 Imm NA
AUR88 Male 1988 1989 0 NA NA DeadNotShot 1 D N 0 AUR88 0 0 loc CAN83
AVO81 Female 1981 1982 0 0 0 DeadNotShot 1 D N NA AVO81 0 0 loc UPT78
AVO82 Female 1982 1985 3 1 0 DeadNotShot 1 D C NA AVO82 1 0.25 loc UPT78
AVO83 Male 1983 1993 9 NA NA DeadNotShot 1 D N 0 AVO83 0 0.25 loc UPT78
AVO84 Male 1984 1996 12 NA NA DeadNotShot 1 D N 27 AVO84 27 0.5 loc UPT78
AVO85 Male 1985 1997 11 NA NA DeadNotShot 1 D N 0 AVO85 0 0.5 loc UPT78
AVO86 Male 1986 1987 0 NA NA DeadNotShot 1 D N 0 AVO86 0 0 loc UPT78
AVO87 Male 1987 NA NA NA NA DeadNotShot 2 D NA 1 AVO87 1 0.25 loc UPT78
AVO88 Female 1988 1989 0 0 0 DeadNotShot 1 D N NA AVO88 0 0.5 loc UPT78
AVO89 Female 1989 2004 15 7 5 DeadNotShot 1 D N NA AVO89 7 0.25 loc UPT78
AVO90 Female 1990 2004 13 9 4 DeadNotShot 1 D N NA AVO90 9 0 loc UPT78
AVO91 Male 1991 1992 0 NA NA DeadNotShot 1 D N 0 AVO91 0 0 loc UPT78
AVO92 Male 1992 1993 0 NA NA DeadNotShot 1 D N 0 AVO92 0 0.125 loc UPT78
AXISS Male 1978 NA NA NA NA DeadNotShot 2 D NA 3 AXISS 3 1 loc NA
AXL07 Male 2007 2008 0 NA NA DeadNotShot 1 D N 0 AXL07 0 0.140625 loc SLA03
AXL10 Male 2010 NA NA NA NA Living 3 L NA 0 AXL10 0 0.140625 loc SLA03
AXL11 Male 2011 2012 0 NA NA DeadNotShot 1 D N 0 AXL11 0 0.140625 loc SLA03
AYE07 Male 2007 2012 5 NA NA Shot 3 D S 0 AYE07 0 0.734375 loc MEE03
AYE09 Female 2009 NA NA 3 1 Living 3 L NA NA AYE09 3 0.578125 loc MEE03
AYE10 Female 2010 NA NA 2 0 Living 3 L NA NA AYE10 2 0.640625 loc MEE03
AYE12 Female 2012 NA NA 1 0 Living 3 L NA NA AYE12 1 0.578125 loc MEE03
AYE13 Female 2013 NA NA 0 0 Living 3 L NA NA AYE13 0 0.328125 loc MEE03
AYE15 Male 2015 NA NA NA NA Living 3 L NA 0 AYE15 0 0.734375 loc MEE03
AYE16 Male 2016 2017 0 NA NA DeadNotShot 1 D N 0 AYE16 0 0.375 loc MEE03
AZU05 Female 2005 2013 7 4 0 Shot 3 D S NA AZU05 4 0.3125 loc CRM01
AZU07 Female 2007 2012 4 2 0 Shot 3 D S NA AZU07 2 0.28125 loc CRM01
AZU08 Female 2008 2014 5 3 0 Shot 3 D S NA AZU08 3 0.578125 loc CRM01
AZU09 Female 2009 2009 0 0 0 DeadNotShot 1 D Q NA AZU09 0 0.578125 loc CRM01
AZU10 Male 2010 2010 0 NA NA DeadNotShot 1 D E 0 AZU10 0 0.5 loc CRM01
AZU12 Female 2012 2014 1 0 0 Shot 3 D S NA AZU12 0 0.53125 loc CRM01
AZU13 Female 2013 2014 0 0 0 Shot 3 D S NA AZU13 0 0.5625 loc CRM01
BAC03 Male 2003 2004 1 NA NA DeadNotShot 1 D N 0 BAC03 0 0.4375 loc PTN93
BAC97 Male 1997 1997 0 NA NA DeadNotShot 1 D D 0 BAC97 0 0.5625 loc PTN93
BAC98 Female 1998 2007 9 5 3 DeadNotShot 1 D Q NA BAC98 5 0.3125 loc PTN93
BAC99 Male 1999 2000 0 NA NA DeadNotShot 1 D N 0 BAC99 0 0.5625 loc PTN93
BAL15 Female 2015 2016 0 0 0 DeadNotShot 1 D N NA BAL15 0 0.890625 loc LUT12
BAN87 Female 1987 1989 2 0 0 DeadNotShot 1 D Q NA BAN87 0 0.3125 loc FRE83
BAN89 Female 1989 NA NA 0 0 DeadNotShot 2 D NA NA BAN89 0 0.3125 loc FRE83
BAN90 Male 1990 NA NA NA NA DeadNotShot 2 D NA 0 BAN90 0 0.3125 loc FRE83
BAN91 Female 1991 NA NA 0 0 DeadNotShot 2 D NA NA BAN91 0 0.3125 loc FRE83
BAN92 Male 1992 NA NA NA NA DeadNotShot 2 D NA 0 BAN92 0 0.3125 loc FRE83
BAN93 Male 1993 1993 0 NA NA Shot 3 D S 0 BAN93 0 0.3125 loc FRE83
BAR75 Male 1975 1985 9 NA NA DeadNotShot 1 D N 1 BAR75 1 0 loc UPR71
BAR76 Male 1976 1980 4 NA NA Shot 3 D S 0 BAR76 0 0 loc UPR71
BAR77 Male 1977 1986 8 NA NA DeadNotShot 1 D N 0 BAR77 0 0.25 loc UPR71
BAR78 Male 1978 1979 1 NA NA DeadNotShot 1 D N 0 BAR78 0 0 loc UPR71
BAR79 Female 1979 1992 12 8 1 DeadNotShot 1 D N NA BAR79 8 0.25 loc UPR71
BAR80 Female 1980 1993 12 9 3 DeadNotShot 1 D N NA BAR80 9 0 loc UPR71
BAR81 Male 1981 1982 1 NA NA DeadNotShot 1 D Q 0 BAR81 0 0.25 loc UPR71
BAR82 Male 1982 1992 9 NA NA DeadNotShot 1 D N 10 BAR82 10 0.5 loc UPR71
BAR83 Female 1983 1995 12 6 4 DeadNotShot 1 D C NA BAR83 6 0.5 loc UPR71
BAR84 Female 1984 1995 10 6 0 DeadNotShot 1 D N NA BAR84 6 0 loc UPR71
BAR85 Male 1985 1986 0 NA NA DeadNotShot 1 D N 0 BAR85 0 0.25 loc UPR71
BARBE Male 1984 NA NA NA NA DeadNotShot 2 D NA 0 BARBE 0 1 Imm NA
BARKE Male 1973 NA NA NA NA DeadNotShot 2 D NA 0 BARKE 0 1 Imm NA
BARKH Female NA NA NA 1 0 DeadNotShot 2 D NA NA BARKH 1 1 Imm NA
BASIL Male 1988 2002 13 NA NA DeadNotShot 1 D Q 37 BASIL 37 1 Imm NA
BATTS Male 1988 NA NA NA NA DeadNotShot 2 D NA 0 BATTS 0 1 Imm NA
BAU16 Male 2016 NA NA NA NA Living 3 L NA 0 BAU16 0 0.6875 loc MCD12
BAYLE Male 1963 1978 14 NA NA DeadNotShot 1 D N 0 BAYLE 0 0 base NA
BBG15 Male 2015 2016 1 NA NA Shot 3 D S 0 BBG15 0 0.28125 loc DID08
BBG16 Male 2016 2016 0 NA NA Shot 3 D S 0 BBG16 0 0.28125 loc DID08
BCA14 Female 2014 2014 0 0 0 DeadNotShot 1 D Q NA BCA14 0 0.7890625 loc CBS09
BCA16 Male 2016 NA NA NA NA Living 3 L NA 0 BCA16 0 0.9140625 loc CBS09
BCL84 Female 1984 1993 8 3 0 DeadNotShot 1 D N NA BCL84 3 0.0625 loc BUC81
BCL86 Male 1986 1999 12 NA NA DeadNotShot 1 D N 0 BCL86 0 0.3125 loc BUC81
BCL87 Female 1987 1993 5 1 0 DeadNotShot 1 D N NA BCL87 1 0.1875 loc BUC81
BCL88 Female 1988 1989 0 0 0 DeadNotShot 1 D N NA BCL88 0 0.4375 loc BUC81
BCL89 Female 1989 1990 0 0 0 DeadNotShot 1 D N NA BCL89 0 0.4375 loc BUC81
BCL90 Male 1990 2000 9 NA NA DeadNotShot 1 D N 5 BCL90 5 0.1875 loc BUC81
BCL91 Male 1991 1993 1 NA NA DeadNotShot 1 D N 0 BCL91 0 0.1875 loc BUC81
BCL93 Female 1993 2008 14 11 4 DeadNotShot 1 D N NA BCL93 11 0.4375 loc BUC81
BCL94 Female 1994 1995 0 0 0 DeadNotShot 1 D N NA BCL94 0 0.1875 loc BUC81
BCL95 Female 1995 2005 9 3 1 DeadNotShot 1 D N NA BCL95 3 0.3125 loc BUC81
BCL96 Female 1996 2008 11 5 2 DeadNotShot 1 D N NA BCL96 5 0.25 loc BUC81
BDLFT Male 1973 1980 7 NA NA DeadNotShot 1 D Q 0 BDLFT 0 0 loc MOWSP
BEA00 Female 2000 2016 16 8 4 DeadNotShot 1 D C NA BEA00 8 0.375 loc MOO96
BEA02 Male 2002 NA NA NA NA DeadNotShot 2 U NA 0 BEA02 0 0 loc MOO96
BEA04 Female 2004 2004 0 0 0 DeadNotShot 1 D Q NA BEA04 0 0.21875 loc MOO96
BEA05 Female 2005 2014 8 2 0 Shot 3 D S NA BEA05 2 0.21875 loc MOO96
BED12 Male 2012 2014 2 NA NA Shot 3 D S 0 BED12 0 0.609375 loc GYP07
BED14 Male 2014 2014 0 NA NA DeadNotShot 1 D Q 0 BED14 0 0.640625 loc GYP07
BED15 Female 2015 NA NA 0 0 Living 3 L NA NA BED15 0 0.765625 loc GYP07
BEE88 Male 1988 1988 0 NA NA DeadNotShot 1 D D 0 BEE88 0 0.3125 loc PET85
BEE89 Male 1989 1989 0 NA NA DeadNotShot 1 D Q 0 BEE89 0 0.5625 loc PET85
BEE90 Female 1990 1993 2 0 0 DeadNotShot 1 D N NA BEE90 0 0.0625 loc PET85
BEE91 Female 1991 1992 0 0 0 DeadNotShot 1 D N NA BEE91 0 0.375 loc PET85
BEE93 Female 1993 NA NA 8 4 Living 3 L NA NA BEE93 8 0.5625 loc PET85
BEE94 Female 1994 2000 6 2 1 Shot 3 D S NA BEE94 2 0.5625 loc PET85
BEE96 Female 1996 1996 0 0 0 DeadNotShot 1 D E NA BEE96 0 0.3125 loc PET85
BEL08 Male 2008 2013 5 NA NA Shot 3 D S 1 BEL08 1 0.609375 loc TIN02
BENTS Male 1959 NA NA NA NA DeadNotShot 2 D NA 0 BENTS 0 0 base NA
BERTI Male 1993 2002 8 NA NA DeadNotShot 1 D Q 3 BERTI 3 0.625 loc NA
BET71 Male 1971 NA NA NA NA DeadNotShot 2 D NA 0 BET71 0 0 loc BLT68
BET73 Female 1973 1986 12 7 2 DeadNotShot 1 D N NA BET73 7 0 loc BLT68
BET74 Male 1974 1974 0 NA NA DeadNotShot 1 D D 0 BET74 0 0 loc BLT68
BET75 Male 1975 1978 3 NA NA DeadNotShot 1 D A 0 BET75 0 0 loc BLT68
BET76 Male 1976 1986 9 NA NA DeadNotShot 1 D N 5 BET76 5 0 loc BLT68
BET78 Male 1978 1986 8 NA NA Shot 3 D S 0 BET78 0 0 loc BLT68
BET80 Female 1980 1981 0 0 0 DeadNotShot 1 D N NA BET80 0 0 loc BLT68
BGR74 Male 1974 1979 5 NA NA Shot 3 D S 0 BGR74 0 0.5 loc MOBGG
BHN04 Male 2004 2004 0 NA NA Shot 3 D S 0 BHN04 0 0.53125 loc MAS99
BIE00 Male 2000 2000 0 NA NA DeadNotShot 1 D Q 0 BIE00 0 0.1875 loc CFI94
BIE01 Female 2001 2013 12 7 3 DeadNotShot 1 D C NA BIE01 7 0.59375 loc CFI94
BIE02 Male 2002 2004 1 NA NA DeadNotShot 1 D N 0 BIE02 0 0.59375 loc CFI94
BIE03 Male 2003 2004 0 NA NA DeadNotShot 1 D N 0 BIE03 0 0.59375 loc CFI94
BIE04 Male 2004 2005 0 NA NA DeadNotShot 1 D N 0 BIE04 0 0.59375 loc CFI94
